ID	DepMap
SKNDZ	ACH-000366
NCIH226	ACH-000367
SNU1105	ACH-000368
MOLM16	ACH-000369
SNU626	ACH-000370
KASUMI2	ACH-000728
SKM1	ACH-000373
HCC1143	ACH-000374
G402	ACH-000375
SF295	ACH-000376
SNU478	ACH-000377
NCIH647	ACH-000378
NCIH1781	ACH-000379
KMS12BM	ACH-000380
T84	ACH-000381
CORL24	ACH-000382
OE33	ACH-000383
SW780	ACH-000384
SKRC20	ACH-000385
KG1	ACH-000386
TF1	ACH-000387
NUDHL1	ACH-000388
H4	ACH-000389
LUDLU1	ACH-000390
CHLA32	ACH-001032
CALU3	ACH-000392
HLF	ACH-000393
NCIH2081	ACH-000394
NCIH520	ACH-000395
J82	ACH-000396
TEN	ACH-000397
NCIH2196	ACH-000399
SKCO1	ACH-000400
COLO800	ACH-000401
BL70	ACH-000402
NCIH747	ACH-000403
K029AX	ACH-000404
WSUNHL	ACH-001709
U937	ACH-000406
SNU685	ACH-000407
TE5	ACH-000408
OVSAHO	ACH-000409
SAOS2	ACH-000410
769P	ACH-000411
SNU1197	ACH-000412
HS739T	ACH-000413
NCIH1944	ACH-000414
BICR6	ACH-000415
NCIH838	ACH-000416
PANC0813	ACH-000417
SW1353	ACH-000418
KMS28BM	ACH-000419
SNU449	ACH-000420
SW837	ACH-000421
SNU475	ACH-000422
SKMEL3	ACH-000423
CHLA57	ACH-001033
CHLA9	ACH-001034
UACC62	ACH-000425
KMS20	ACH-000426
NCIN87	ACH-000427
UO31	ACH-000428
A704	ACH-000429
TYKNU	ACH-000430
NCIH1694	ACH-000431
BV173	ACH-000432
CAKI1	ACH-000433
NCIH1915	ACH-000434
EFE184	ACH-000435
OCIMY7	ACH-000436
SW1088	ACH-000437
LU65	ACH-000438
ME1	ACH-000439
CA46	ACH-000440
SH4	ACH-000441
RERFLCSQ1	ACH-000442
OVKATE	ACH-000443
LU99	ACH-000444
KNS60	ACH-000445
KPNSI9S	ACH-000446
NCIH2228	ACH-000447
NCIH1666	ACH-000448
MESSA	ACH-000449
MELHO	ACH-000450
NCIH2085	ACH-000451
TE8	ACH-000452
MOLP2	ACH-000453
HCC95	ACH-000454
LN428	ACH-000455
BCPAP	ACH-000456
CAL54	ACH-000457
CJM	ACH-000458
TUHR10TKB	ACH-000459
